hometown,count
"New York, New York",133
"Chicago, Illinois",104
"Los Angeles, California",99
"Brooklyn, New York",70
"Seattle, Washington",45
"Atlanta, Georgia",44
"Austin, Texas",39
"Las Vegas, Nevada",37
"Arlington, Virginia",31
"San Diego, California",30
"Portland, Oregon",29
"Pittsburgh, Pennsylvania",28
"Denver, Colorado",27
"Houston, Texas",26
"Kenilworth, Illinois",25
"Philadelphia, Pennsylvania",24
"Nashville, Tennessee",24
"Alexandria, Virginia",23
"San Francisco, California",23
"St. Louis, Missouri",21
"New Orleans, Louisiana",20
"Minneapolis, Minnesota",19
"Decatur, Georgia",18
"Boston, Massachusetts",18
"Orlando, Florida",18
"Miami, Florida",17
"Louisville, Kentucky",17
"Ann Arbor, Michigan",17
"Raleigh, North Carolina",17
"Baltimore, Maryland",17
"Columbia, Maryland",15
"Princeton, New Jersey",15
"Dallas, Texas",14
"Cambridge, Massachusetts",14
"Tucson, Arizona",13
"Pasadena, California",13
"Somerville, Massachusetts",13
"Silver Spring, Maryland",12
"Broadview Heights, Ohio",12
"Kansas City, Missouri",12
"Manchester, New Hampshire",12
"Charlotte, North Carolina",12
"Charlottesville, Virginia",12
"Wilmington, Delaware",12
"Malden, Massachusetts",12
"Tulsa, Oklahoma",12
"Madison, Wisconsin",12
"Cleveland, Ohio",12
"Aurora, Colorado",11
"Indianapolis, Indiana",11
"State College, Pennsylvania",10
"Salt Lake City, Utah",10
"Vermilion, Ohio",10
"Amherst, Ohio",10
"Cincinnati, Ohio",10
"Bethesda, Maryland",10
"Knoxville, Tennessee",10
"Durham, North Carolina",9
"Rochester, New York",9
"Eastpointe, Michigan",9
"Little Rock, Arkansas",9
"Newark, Delaware",9
"Columbus, Ohio",9
"Champaign, Illinois",9
"Birmingham, Alabama",9
"Medford, Massachusetts",9
"Berwyn, Pennsylvania",9
"Albany, New York",9
"Shaker Heights, Ohio",9
"Santa Monica, California",8
"Steamboat Springs, Colorado",8
"Santa Barbara, California",8
"Fort Collins, Colorado",8
"Boulder, Colorado",8
"Albuquerque, New Mexico",8
"Homer, New York",8
"Lexington, Kentucky",8
"Omaha, Nebraska",8
"Fort Worth, Texas",8
"Jersey City, New Jersey",8
"SeaTac, Washington",8
"Frederick, Maryland",8
"Mount Airy, North Carolina",7
"Mountain View, California",7
"West Hollywood, California",7
"New Haven, Connecticut",7
"Richmond, Virginia",7
"Columbia, South Carolina",7
"Providence, Rhode Island",7
"Queens, New York",7
"Edina, Minnesota",7
"Round Rock, Texas",7
"North Little Rock, Arkansas",7
"Kinston, North Carolina",7
"Ellicott City, Maryland",7
"Long Beach, California",7
"Des Moines, Iowa",6
"Herndon, Virginia",6
"Toledo, Ohio",6
"Fayetteville, Arkansas",6
"Huntsville, Alabama",6
"Baton Rouge, Louisiana",6
"Carmel, Indiana",6
"Sarasota, Florida",6
"Jacksonville, Florida",6
"Riverside, California",6
"Johns Creek, Georgia",6
"Marietta, Georgia",6
"Boise, Idaho",6
"Bonita Springs, Florida",6
"Bend, Oregon",6
"Roanoke, Virginia",6
"Oklahoma City, Oklahoma",6
"Gainesville, Florida",5
"Longmont, Colorado",5
"Virginia Beach, Virginia",5
"Memphis, Tennessee",5
"Arvada, Colorado",5
"Vancouver, Washington",5
"Tampa, Florida",5
"Falls Church, Virginia",5
"Madison, Alabama",5
"Colorado Springs, Colorado",5
"Anchorage, Alaska",5
"Los Altos, California",5
"Norfolk, Virginia",5
"Macungie, Pennsylvania",5
"Columbia, Missouri",5
"Westlake Village, California",5
"Gainesville, Georgia",5
"Bethlehem, Pennsylvania",5
"Ogden, Utah",5
"Detroit, Michigan",5
"Elmhurst, Illinois",5
"Berkeley, California",5
"McLean, Virginia",5
"Jackson, Michigan",5
"Lansing, Kansas",5
"Dubuque, Iowa",5
"Quincy, Massachusetts",5
"Lexington, South Carolina",5
"Lincoln, Nebraska",5
"Pomona, California",5
"Buffalo, New York",5
"Sioux Falls, South Dakota",5
"Stamford, Connecticut",5
"Perrysburg, Ohio",5
"Owings Mills, Maryland",5
"Livonia, Michigan",5
"Peachtree City, Georgia",5
"Somerset, New Jersey",5
"Huntington Beach, California",4
"Corydon, Indiana",4
"Katy, Texas",4
"Fort Wayne, Indiana",4
"Kirkland, Washington",4
"Denton, Texas",4
"Lacey, Washington",4
"Irvine, California",4
"East Lansing, Michigan",4
"Lakewood, Ohio",4
"Lanham, Maryland",4
"Evanston, Illinois",4
"Hoover, Alabama",4
"Deer Park, Texas",4
"Joliet, Illinois",4
"Iowa City, Iowa",4
"Ypsilanti, Michigan",4
"Fresno, California",4
"Mesa, Arizona",4
"Prattville, Alabama",4
"Reston, Virginia",4
"Ridgewood, New Jersey",4
"Rogers, Arkansas",4
"Bowie, Maryland",4
"Boca Raton, Florida",4
"Bloomington, Indiana",4
"Rye, New York",4
"Sacramento, California",4
"Birmingham, Michigan",4
"Bettendorf, Iowa",4
"San Antonio, Texas",4
"San Bruno, California",4
"San Jose, California",4
"Santa Clara, California",4
"Santa Fe, New Mexico",4
"Slippery Rock, Pennsylvania",4
"Swarthmore, Pennsylvania",4
"Arnold, Missouri",4
"The Woodlands, Texas",4
"Winston-Salem, North Carolina",4
"Wyandotte, Michigan",4
"Brooklyn, Michigan",4
"Boyertown, Pennsylvania",4
"New Paltz, New York",4
"Northampton, Massachusetts",4
"Plano, Texas",4
"Midvale, Utah",4
"Milwaukee, Wisconsin",4
"Mineral Point, Wisconsin",4
"Muncie, Indiana",4
"Oakland, California",4
"Phoenix, Arizona",4
"Morgantown, West Virginia",4
"Olive Branch, Mississippi",4
"Oak Park, California",4
"Carrollton, Texas",4
"Monrovia, California",4
"Littleton, Colorado",3
"Tempe, Arizona",3
"Syracuse, New York",3
"Spokane, Washington",3
"Shamokin, Pennsylvania",3
"Torrance, California",3
"Higganum, Connecticut",3
"Hoffman Estates, Illinois",3
"Highland Park, New Jersey",3
"Macon, Georgia",3
"Tucker, Georgia",3
"Harvest, Alabama",3
"Greenville, South Carolina",3
"Grand Rapids, Michigan",3
"Grand Island, Nebraska",3
"Goleta, California",3
"Urbana, Illinois",3
"Gaithersburg, Maryland",3
"Vienna, Virginia",3
"Wheaton, Illinois",3
"Savannah, Georgia",3
"New Bern, North Carolina",3
"Loveland, Ohio",3
"Loveland, Colorado",3
"Lighthouse Point, Florida",3
"Provo, Utah",3
"Rancho Cucamonga, California",3
"Laurel, Maryland",3
"Randolph, Massachusetts",3
"Red Bank, New Jersey",3
"Redwood City, California",3
"Reno, Nevada",3
"Perry, Kansas",3
"Lafayette, Indiana",3
"Lafayette, Colorado",3
"Rock Hill, South Carolina",3
"Rockville, Maryland",3
"McKinney, Texas",3
"Parker, Colorado",3
"Akron, Ohio",3
"Kennesaw, Georgia",3
"Norman, Oklahoma",3
"Sammamish, Washington",3
"Kalamazoo, Michigan",3
"Johnson City, Tennessee",3
"Poway, California",3
"Naperville, Illinois",3
"Old Forge, Pennsylvania",3
"Lockport, New York",3
"East Point, Georgia",3
"Altamonte Springs, Florida",3
"Fishers, Indiana",3
"Chicago Heights, Illinois",3
"Charleston, South Carolina",3
"Centennial, Colorado",3
"Cheyenne, Wyoming",3
"Casper, Wyoming",3
"Claremont, California",3
"Berwyn, Illinois",3
"Corvallis, Oregon",3
"Canyonville, Oregon",3
"Corona, California",3
"Bronxville, New York",3
"Fort Myers, Florida",3
"Alameda, California",3
"Cary, North Carolina",3
"Florence, South Carolina",3
"Bristol, Pennsylvania",2
"Chattanooga, Tennessee",2
"Lake Wylie, South Carolina",2
"Lamar, Missouri",2
"Lake Wales, Florida",2
"Lakewood, Colorado",2
"Lake Forest, California",2
"Ashtabula, Ohio",2
"Sunnyvale, California",2
"Riverton, Utah",2
"Laguna Niguel, California",2
"North Wales, Pennsylvania",2
"Sullivan, Illinois",2
"Lafayette, Louisiana",2
"Adairsville, Georgia",2
"Chatham, New Jersey",2
"Tualatin, Oregon",2
"Brookfield, Wisconsin",2
"Eureka Springs, Arkansas",2
"Irving, Texas",2
"Tustin, California",2
"Essex Junction, Vermont",2
"Chapel Hill, North Carolina",2
"Encinitas, California",2
"Richmond, California",2
"Trumansburg, New York",2
"Norwalk, Connecticut",2
"Oak Ridge, Tennessee",2
"Arlington Heights, Illinois",2
"Tigard, Oregon",2
"Oak Ridge, North Carolina",2
"East Providence, Rhode Island",2
"Steeleville, Illinois",2
"Arroyo Grande, California",2
"Oak Harbor, Washington",2
"Stony Brook, New York",2
"St. Charles, Illinois",2
"Athens, Ohio",2
"Martin, Tennessee",2
"Cleveland Heights, Ohio",2
"Bakersfield, California",2
"Smyrna, Tennessee",2
"Manassas, Virginia",2
"Mount Sinai, New York",2
"Skokie, Illinois",2
"Ballwin, Missouri",2
"Morton Grove, Illinois",2
