full_name,final_score,occupation,hometown,city,state,state_id,archive_info,date,dt_indx,id_x,created_at,favorite_count,retweet_count,anecdote,text,game_info_flg,winner_flg,gender,clean_text,answer_number,job,final_job_category
Jason Zuffranieri,27600,a math teacher,"Albuquerque, New Mexico",Albuquerque,New Mexico,NM,J! Archive - Show #8045,2019-07-26,1,1154934362737205253,2019-07-27 01:59:44,23,2,A movie editor in France has a similar name to mine.,"7/26/19:
""My medical school interview was with a @Jeopardy! contestant who fell to @KenJennings.""
""The children's' book industry is phenomenal.""
""A movie editor in France has a similar name to mine.""
#Jeopardy https://t.co/NUhCad6Nwh",True,1,male,A movie editor in France has a similar name to mine.,answer3,math teacher,teacher
Jason Zuffranieri,4400,a math teacher,"Albuquerque, New Mexico",Albuquerque,New Mexico,NM,J! Archive - Show #8044,2019-07-25,1,1154567652465106944,2019-07-26 01:42:33,6,1,It took me seconds to 'win' a game of anti-chess.,"7/25/19:
""I like cooking with my 2-year-old son.""
""Chuck Norris' aunt thought I looked justl ike him.""
""It took me seconds to 'win' a game of anti-chess.""
#Jeopardy https://t.co/QNOWAR23Nu",True,1,male,It took me seconds to win a game of anti-chess.,answer3,math teacher,teacher
Jason Zuffranieri,30000,a math teacher,"Albuquerque, New Mexico",Albuquerque,New Mexico,NM,J! Archive - Show #8043,2019-07-24,1,1154498659637051393,2019-07-25 21:08:24,8,3,"“In Mexico, I was mistaken for Nicolas Cage.”","7/24/19:
“I played drums in a rhythmic troupe.”
“I had to memorize the Gettysburg Address.”
“In Mexico, I was mistaken for Nicolas Cage.”
#Jeopardy https://t.co/VZWZ0bzmdx",True,1,male,"“In Mexico, I was mistaken for Nicolas Cage.”",answer3,math teacher,teacher
Jason Zuffranieri,30100,a math teacher,"Albuquerque, New Mexico",Albuquerque,New Mexico,NM,J! Archive - Show #8042,2019-07-23,1,1154153044772306945,2019-07-24 22:15:03,5,0,My stuffed manatee is a comfort animal in my classroom.,"7/23/19:
""I like telling dad jokes.""
""I run an online forum to talk about the neighborhood.""
""My stuffed manatee is a comfort animal in my classroom.""
#Jeopardy https://t.co/OBTcBXWxzC",True,1,male,My stuffed manatee is a comfort animal in my classroom.,answer3,math teacher,teacher
Jason Zuffranieri,18600,a math teacher,"Albuquerque, New Mexico",Albuquerque,New Mexico,NM,J! Archive - Show #8041,2019-07-22,1,1154141731669073920,2019-07-24 21:30:06,6,0,I travel around the world playing Sudoku.,"7/22/19:
""I explain forensic science to kids using the Goldilocks story.""
""I went to Spain &amp; ran into a lady who was my 3rd cousin.""
""I travel around the world playing Sudoku.""
#Jeopardy https://t.co/c08ArMbQBH",True,1,male,I travel around the world playing Sudoku.,answer3,math teacher,teacher
Jason Zuffranieri,26600,a math teacher,"Albuquerque, New Mexico",Albuquerque,New Mexico,NM,J! Archive - Show #8040,2019-07-19,3,1154129140758536192,2019-07-24 20:40:04,5,0,I deliberately struck out so we could force a win.,"7/19/19:
""I deliberately struck out so we could force a win.""
""I'm a board member of a group that teaches about civic technology.""
""@MagicJohnson congratulated me on my giant chess trophy.""
#Jeopardy https://t.co/J1V2wEEwqa",True,1,male,I deliberately struck out so we could force a win.,answer1,math teacher,teacher
Kevin Paquette,7199,a math teacher,"Charlottesville, Virginia",Charlottesville,Virginia,VA,J! Archive - Show #8032,2019-07-09,3,1148775119013195781,2019-07-10 02:05:06,15,1,I've been to a bunch of national parks.,"7/9/19:
""I've been to a bunch of national parks.""
""I won a bronze medal at the World Fencing Championships.""
""For a decades party, I dressed like Lincoln in the 1860s.""
#Jeopardy https://t.co/iE3kjt6spx",True,0,male,Ive been to a bunch of national parks.,answer1,math teacher,teacher
Rand Wise,11900,a math teacher,"Decatur, Georgia",Decatur,Georgia,GA,J! Archive - Show #7542,2017-05-30,3,869691404229922816,2017-05-30 23:06:03,5,1,I taught in Malawi for @PeaceCorps.,"5/30/17:
""I taught in Malawi for @PeaceCorps.""
""I ran into my future husband on  @Amtrak.""
""I wanted the coin snatching record.""
#Jeopardy https://t.co/URVdKxbEZW",True,1,female,I taught in Malawi for Peace Corps.,answer1,math teacher,teacher
Julien Corven,14200,a math teacher,"Parkville, Maryland",Parkville,Maryland,MD,J! Archive - Show #7590,2017-09-15,3,908885953640636416,2017-09-16 02:51:12,18,4,I have a math equation tattooed.,"9/15/17:
""I have a math equation tattooed.""
""I volunteer as a Valley Forge actor.""
""I didn't like running races but now I do.""
#Jeopardy https://t.co/r5zpinGUnp",True,0,male,I have a math equation tattooed.,answer1,math teacher,teacher
Quin Lewellen,5599,a graphic designer,"Albuquerque, New Mexico",Albuquerque,New Mexico,NM,J! Archive - Show #7692,2018-02-06,3,961028497664856064,2018-02-07 00:07:03,13,2,I watched @Jeopardy! during my high school lunch break.,"2/6/18:
""I watched @Jeopardy! during my high school lunch break.""
""I am a water sommelier.""
""I make sure car registrations are done on time.""
#Jeopardy https://t.co/1uZQhzePY4",True,1,unknown,I watched Jeopardy during my high school lunch break.,answer1,graphic designer,actor/artist/designer
