job,job_category,job_category_manual,count,detailed review,updated_category,interesting_jobs,final_job_category
10th 11th grade english teacher,grad student,grad student,1,,,,grad student
medical transcriptionist,medical transcriptionist,medical transcriptionist,1,*,misc health,,misc health
medicare appeals coordinator,coordinator,coordinator,1,,,,coordinator
member services counselor,advisor,advisor,1,,,,administration/ advisory
middle school humanities teacher,teacher,teacher,1,,,,teacher
middle school librarian,librarian,librarian,1,,,,librarian
midwife,midwife,midwife,1,*,unemployed,,unemployed
minister,minister,minister,1,*,religious ,,military/ clergy
mother 4,mother 4,mother 4,1,*,unemployed,,unemployed
multiplatform copy editor,multiplatform copy editor,multiplatform copy editor,1,*,editor,,editor
municipal judge,lawyer,lawyer,1,,,,lawyer
museum docent originally,unemployed,unemployed,1,,,,unemployed
music director pianist,musician,musician,1,,,,musician
music historian,musician,musician,1,*,specialist ,,specialist
music librarian,musician,musician,1,*,librarian,,librarian
music minister,musician,musician,1,,,,musician
music producer sound editor,musician,musician,1,,,,musician
musician grad student,musician,musician,1,*,grad student,,grad student
musician licensing executive,musician,musician,1,*,manager,,manager
musicologist,musician,musician,1,*,specialist ,,specialist
nanny originally,unemployed,unemployed,1,,,,unemployed
national guard recruiter,national guard recruiter,national guard recruiter,1,*,miscellaneous,,miscellaneous
naval architect,architect,architect,1,*,engineer,,engineer/ architect
network administrator,network administrator,network administrator,1,*,tech developer,,technician/ programmer
neuroscientist,scientist,scientist,1,,,,scientist/ researcher
news producer originally,unemployed,unemployed,1,,,,unemployed
newspaper editor reporter,reporter,reporter,1,*,writer ,,writer
nonprofit administrator,nonprofit,nonprofit,1,*,admin,,administration/ advisory
medical technologist,medical technologist,medical technologist,1,*,misc health,,misc health
nonprofit co-founder leader originally,unemployed,unemployed,1,,,,unemployed
medical lab scientist,scientist,scientist,1,,,,scientist/ researcher
media consultant,consultant,consultant,1,,,,consultant
linguist language columnist,linguist language columnist,linguist language columnist,1,*,writer ,,writer
literary agent,literary agent,literary agent,1,*,editor,,editor
literature ph.d. student,grad student,grad student,1,,,,grad student
location coordinator,coordinator,coordinator,1,,,,coordinator
logistics coordinator,coordinator,coordinator,1,,,,coordinator
m.b.a. candidate originally,unemployed,unemployed,1,,,,unemployed
m.d. ph.d. student,grad student,grad student,1,,,,grad student
m.d.-ph.d. student,grad student,grad student,1,,,,grad student
major u.s. marine corps originally,unemployed,unemployed,1,,,,unemployed
manager,manager,manager,1,,,,manager
manager commercial support content,manager,manager,1,,,,manager
manager corporate foundation relations music school,musician,musician,1,,,,musician
manager scientific writing,manager,manager,1,,,,manager
managing editor,managing editor,managing editor,1,*,editor,,editor
market research analyst originally,unemployed,unemployed,1,,,,unemployed
market research director,director,director,1,,,,director
market research intelligence senior coordinator,coordinator,coordinator,1,,,,coordinator
market researcher,scientist,scientist,1,,,,scientist/ researcher
marketing content manager,manager,manager,1,,,,manager
marketing executive,manager,manager,1,,,,manager
marketing project manager,manager,manager,1,,,,manager
marketing strategist,marketing strategist,marketing strategist,1,*,marketing,,marketing
massage therapist,massage therapist,massage therapist,1,*,service industry,,assistant/ service industry
math instructor,teacher,teacher,1,,,,teacher
math student,student,student,1,,,,student
mba student,student,student,1,,,,student
mechanical design engineer,engineer,engineer,1,,,,engineer/ architect
media strategist,media strategist,media strategist,1,*,marketing,,marketing
nonprofit communications consultant,nonprofit,nonprofit,1,*,consultant,,consultant
nonprofit communications professional,nonprofit,nonprofit,1,*,specialist ,,specialist
nonprofit consultant,nonprofit,nonprofit,1,*,consultant,,consultant
ph. d. student computer science,student,student,1,*,grad student,,grad student
ph.d student,grad student,grad student,1,,,,grad student
ph.d. candidate adjunct professor,grad student,grad student,1,,,,grad student
ph.d. candidate epidemiology,grad student,grad student,1,,,,grad student
ph.d. candidate teaching associate,grad student,grad student,1,,,,grad student
ph.d. student experimental pathology,grad student,grad student,1,,,,grad student
ph.d. student football analyst,grad student,grad student,1,,,,grad student
pharmaceutical medical director,director,director,1,,,,director
pharmaceutical research associate,scientist,scientist,1,,,,scientist/ researcher
phd student,student,student,1,*,grad student,,grad student
philanthropic advisor,advisor,advisor,1,,,,administration/ advisory
physicist,physicist,physicist,1,*,scientist,,scientist/ researcher
physics instructor,teacher,teacher,1,,,,teacher
pilot,pilot,pilot,1,*,transportation,,specialist
playwright,playwright,playwright,1,*,artist/designer,,actor/artist/designer
podcast host,podcast host,podcast host,1,*,artist/designer,,actor/artist/designer
poet,poet,poet,1,*,artist/designer,,actor/artist/designer
policy research director,director,director,1,,,,director
political science student originally,unemployed,unemployed,1,,,,unemployed
pool room owner,pool room owner,pool room owner,1,*,business owner,,accounting/ business/ finance
pool spa maintenance contractor,pool spa maintenance contractor,pool spa maintenance contractor,1,*,laborer,,laborer
portable restroom service technician,technician,technician,1,,,,technician/ programmer
