State Code (FIPS),County Code (FIPS),Area Name (including legal/statistical area description),FIPS CODE
00,000,United States,00000
01,000,Alabama,01000
01,001,Autauga County,01001
01,003,Baldwin County,01003
01,005,Barbour County,01005
01,007,Bibb County,01007
01,009,Blount County,01009
01,011,Bullock County,01011
01,013,Butler County,01013
01,015,Calhoun County,01015
01,017,Chambers County,01017
01,019,Cherokee County,01019
01,021,Chilton County,01021
01,023,Choctaw County,01023
01,025,Clarke County,01025
01,027,Clay County,01027
01,029,Cleburne County,01029
01,031,Coffee County,01031
01,033,Colbert County,01033
01,035,Conecuh County,01035
01,037,Coosa County,01037
01,039,Covington County,01039
01,041,Crenshaw County,01041
01,043,Cullman County,01043
01,045,Dale County,01045
01,047,Dallas County,01047
01,049,DeKalb County,01049
01,051,Elmore County,01051
01,053,Escambia County,01053
01,055,Etowah County,01055
01,057,Fayette County,01057
01,059,Franklin County,01059
01,061,Geneva County,01061
01,063,Greene County,01063
01,065,Hale County,01065
01,067,Henry County,01067
01,069,Houston County,01069
01,071,Jackson County,01071
01,073,Jefferson County,01073
01,075,Lamar County,01075
01,077,Lauderdale County,01077
01,079,Lawrence County,01079
01,081,Lee County,01081
01,083,Limestone County,01083
01,085,Lowndes County,01085
01,087,Macon County,01087
01,089,Madison County,01089
01,091,Marengo County,01091
01,093,Marion County,01093
01,095,Marshall County,01095
01,097,Mobile County,01097
01,099,Monroe County,01099
01,101,Montgomery County,01101
01,103,Morgan County,01103
01,105,Perry County,01105
01,107,Pickens County,01107
01,109,Pike County,01109
01,111,Randolph County,01111
01,113,Russell County,01113
01,115,St. Clair County,01115
01,117,Shelby County,01117
01,119,Sumter County,01119
01,121,Talladega County,01121
01,123,Tallapoosa County,01123
01,125,Tuscaloosa County,01125
01,127,Walker County,01127
01,129,Washington County,01129
01,131,Wilcox County,01131
01,133,Winston County,01133
01,000,Abbeville city,01000
01,000,Adamsville city,01000
01,000,Addison town,01000
01,000,Akron town,01000
01,000,Alabaster city,01000
01,000,Albertville city,01000
01,000,Alexander City city,01000
01,000,Aliceville city,01000
01,000,Allgood town,01000
01,000,Altoona town,01000
01,000,Andalusia city,01000
01,000,Anderson town,01000
01,000,Anniston city,01000
01,000,Arab city,01000
01,000,Ardmore town,01000
01,000,Argo town,01000
01,000,Ariton town,01000
01,000,Arley town,01000
01,000,Ashford town,01000
01,000,Ashland town,01000
01,000,Ashville city,01000
01,000,Athens city,01000
01,000,Atmore city,01000
01,000,Attalla city,01000
01,000,Auburn city,01000
01,000,Autaugaville town,01000
01,000,Avon town,01000
01,000,Babbie town,01000
01,000,Baileyton town,01000
01,000,Bakerhill town,01000
01,000,Banks town,01000
01,000,Bay Minette city,01000
01,000,Bayou La Batre city,01000
01,000,Bear Creek town,01000
01,000,Beatrice town,01000
01,000,Beaverton town,01000
01,000,Belk town,01000
01,000,Benton town,01000
01,000,Berry town,01000
01,000,Bessemer city,01000
01,000,Billingsley town,01000
01,000,Birmingham city,01000
01,000,Black town,01000
01,000,Blountsville town,01000
01,000,Blue Springs town,01000
01,000,Boaz city,01000
